obra_cod;obra_descricao;Marca;Regional;Carteira;VGV;Data
4169;ACERVO;CYRELA;Klabin;2215169,06;398635383,4;30/04/2021
4525;SHOPPING NOVA AMERICA OFFICE 1000;CYRELA;Rio de Janeiro;1081389,57;95548224,42;30/04/2021
4526;SHOPPING NOVA AMERICA OFFICE 2000;CYRELA;Rio de Janeiro;424378,48;107314159,5;30/04/2021
4711;LE JARDIN;CYRELA;Sul;132657,23;26338245,46;30/04/2021
4712;WAY;LIVING;Sul;17848,66;66309339,97;30/04/2021
4718;LIVING GRAND WISH;LIVING;São Paulo;67645843,1;67645843,1;30/04/2021
4722;FUN RESIDENCE CLUB;LIVING;Sul;8992,74;8992,74;30/04/2021
4731;VIVAZ ECOVILLE I;VIVAZ;Sul;20417505,15;20467311,48;30/04/2021
4738;PLENO VILA FLORA;LIVING;São Paulo;58983,42;97370016,99;30/04/2021
4774;BOULEVARD NEOVILLE FLORIANÓPOLIS;CYRELA;Sul;1502754,64;29994355,53;30/04/2021
4775;DHC OFFICES;CYRELA;Rio de Janeiro;3007050,12;100203734,7;30/04/2021
4776;CARIOCA OFFICES;CYRELA;Rio de Janeiro;3693459,93;116012676,9;30/04/2021
4777;RESIDENCIAL LE FRANCE;CYRELA;Sul;1122976;1122976;30/04/2021
4899;SUPERA CONDOMÍNIO CLUBE;LIVING;Sul;53478,31;73459902,08;30/04/2021
5157;LIVING FAMILY;LIVING;São Paulo;8811823,94;109688554,9;30/04/2021
5166;VARANDA CASTANHEIRA;LIVING;Norte;794475,58;116020365,9;30/04/2021
5167;DUETTO RESIDENCIAL & LAZER;CYRELA;Rio de Janeiro;1633271,75;161400423,5;30/04/2021
5168;SUMMER BANDEIRANTES RESIDENCIAL;LIVING;Rio de Janeiro;589688,48;109835113,2;30/04/2021
5478;MÏSTÏ MORUMBI;CYRELA;São Paulo;4608151,89;205388589,8;30/04/2021
5548;VILLA SOLARE;CYRELA;São Paulo;916709,15;240846516,6;30/04/2021
5549;VILLAGIO LUNA;CYRELA;São Paulo;1183846,87;306762808,3;30/04/2021
5631;LIVE BANDEIRANTES ALL SUITES;LIVING;Rio de Janeiro;405278,42;65630327,38;30/04/2021
5641;AUGURI RESIDENCE;LIVING;São Paulo;318536,45;141852253,7;30/04/2021
5642;VITAMARE NEOVILLE FLORIANÓPOLIS;CYRELA;Sul;2969424,58;53074968,1;30/04/2021
5643;NOBRE NORTE CLUBE RESIDENCIAL;CYRELA;Rio de Janeiro;10277310,5;279317572;30/04/2021
5645;LIVING MAGIC OSASCO;LIVING;São Paulo;1840824,49;255470969,7;30/04/2021
5848;VEREDA IPIRANGA;CYRELA;São Paulo;597664,31;377863058;30/04/2021
5988;CENTRAL PARK MOOCA;CYRELA;São Paulo;138889,85;817084321,8;30/04/2021
6335;EDIFÍCIO GIOIA;CYRELA;São Paulo;1009414,63;171084405,9;30/04/2021
6337;ENCONTRO IMIGRANTES;LIVING;São Paulo;855995,22;173045201,8;30/04/2021
6338;OCEAN PONTAL RESIDENCE & BEACH PLACE;CYRELA;Rio de Janeiro;22374262,94;370327539,1;30/04/2021
6419;SHOPPING NOVA AMERICA OFFICE 3000;CYRELA;Rio de Janeiro;313738,98;80613633,08;30/04/2021
6582;MANDARA KAUAI;CYRELA;Norte;1867734,5;324011920;30/04/2021
6911;VISIONNAIRE NEOVILLE FLORIANÓPOLIS;CYRELA;Sul;673883,62;40037355,54;30/04/2021
6916;NEO LIFE RESIDENCIAL;LIVING;Rio de Janeiro;1913838,79;133797463,7;30/04/2021
6921;IN SIDE PENINSULA HOME DESIGN;CYRELA;Rio de Janeiro;2789626,9;151234211,2;30/04/2021
6924;MEU MUNDO ESTACAO MOOCA;VIVAZ;São Paulo;29477308,55;29477308,55;30/04/2021
7269;RESIDENCIAL COMPLETO NOVA IGUAÇU;LIVING;Rio de Janeiro;863318,06;4408464,36;30/04/2021
7273;MIRAI OFFICES - BELÉM;CYRELA;Norte;2629203,36;170483101,2;30/04/2021
7430;DAÇÃO - ED. INDAÍA(LUCAS BY YOO);CYRELA;Sul;120594,55;120594,55;30/04/2021
7459;RESIDENCIAL PENÍNSULA PARADISO;CYRELA;Rio de Janeiro;1301605,54;1301605,54;30/04/2021
7460;ATMOSFERA 360 PERMUTANTE;CYRELA;São Paulo;44000;44000;30/04/2021
7468;DOMINIO MARAJOARA;CYRELA;São Paulo;1570125,85;935603588,7;30/04/2021
7470;ICONYC;CYRELA;São Paulo;116451334,1;116451334,1;30/04/2021
7475;FLOAT RESIDENCES;CYRELA;Sul;55173112,1;55173112,1;30/04/2021
7479;JP REDENÇÃO;CYRELA;Sul;50302668,39;50302668,39;30/04/2021
7502;LAPLACE PERMUTANTE;CYRELA;Permutante;57000;57000;30/04/2021
7506;VIVAZ ESTAÇÃO GUAIANASES;VIVAZ;São Paulo;30383738,56;30383738,56;30/04/2021
7507;VIVAZ SANTO AMARO;VIVAZ;São Paulo;29707807,65;48404218,14;30/04/2021
7512;PRIME WISH;CYRELA;Sul;16989515,21;16989515,21;30/04/2021
7514;DAÇÃO - ED. VITÓRIA (PEDRA BONITA);CYRELA;Sul;210000;210000;30/04/2021
7516;DAÇÃO - ED. 925 INDEPENDÊNCIA;CYRELA;Sul;124000;692855,9;30/04/2021
7518;JARDIM DE VALENCIA BELÉM;CYRELA;Norte;3102107,05;49272807,46;30/04/2021
7548;LIVING ALTO DO IPIRANGA PERMUTANTE;LIVING;Permutante;89879,49;89879,49;30/04/2021
7557;NY, 205 - ASTÓRIA;CYRELA;Sul;179457,1;179457,1;30/04/2021
7563;DAÇÃO ED. ROSA SERRANA (AXIS HOME);CYRELA;Sul;2111,47;2111,47;30/04/2021
7576;RISERVA UNO(DAÇÃO);CYRELA;Rio de Janeiro;2650232,8;2650232,8;30/04/2021
7606;VIVAZ LAPA - TORNA PERMUTANTE;VIVAZ;São Paulo;2318721,49;2318721,49;30/04/2021
7610;RIO BY YOO;CYRELA;Rio de Janeiro;159798224,3;159798224,3;30/04/2021
7612;GLASS ART BY YOO;CYRELA;São Paulo;115866267,5;147912417,8;30/04/2021
7617;ATMOSFERA;CYRELA;Sul;98829721,74;98829721,74;30/04/2021
7618;ATMOSFERA VILA MARIANA;CYRELA;São Paulo;88365669,59;105383102,7;30/04/2021
7633;;;;2131214,06;2131214,06;30/04/2021
7639;CYRELA IBIRAPUERA BY YOO;CYRELA;São Paulo;312153517,2;312153517,2;30/04/2021
7695;Torna Permutante;CYRELA;Permutante;83978,96;83978,96;30/04/2021
7718;LIVING INFINITY;LIVING;São Paulo;111147124,6;130524753,1;30/04/2021
7730;MAIS CANGAÍBA;LIVING;São Paulo;1426,36;120736394,3;30/04/2021
