40,Konecta,"[500,800]","[-46.6407825,-23.6461957]",Jabaquara,Point,apartment,2020-02-14T05:42:50.531Z,"[20,150]",male,Marketing,Supervisor de vendas
34,Uninove,"[500,1100]","[-46.69160679999999,-23.5635787]",Pinheiros,Point,apartment,2020-02-14T11:36:19.472Z,"[20,150]",female,Graduação em História,Estudante
25,Ingenieur,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-15T07:40:20.682Z,"[20,150]",male,Madrid,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-15T11:25:33.816Z,"[20,150]",,,
23,asd,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-20T00:40:09.333Z,"[20,150]",male,asd,asdasd
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-15T13:24:29.584Z,"[20,150]",,,
25,Flatmatch,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-16T02:29:50.851Z,"[20,150]",male,Ifpi,Programadorf
25,Mobi,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-16T14:05:58.715Z,"[20,150]",male,Análise e desenvolvimento de sistemas,Developer
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-16T16:54:54.708Z,"[20,150]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-17T02:03:08.821Z,"[20,150]",,,
34,NEXO JEANS,"[500,1500]","[-46.6344496,-23.5894943]",Vila Mariana,Point,apartment,2020-02-17T03:48:29.073Z,"[20,150]",male,Processos Gerenciais,Gerente de Marketing
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-17T10:17:10.036Z,"[20,150]",,,
25,Ivia,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-17T15:20:12.585Z,"[20,150]",,Estácio,Dev
21,GC,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-17T17:31:35.386Z,"[20,150]",male,Universidade de Rio Verde,Engenheiro de Software
26,Autônoma,"[500,1100]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-17T19:49:29.034Z,"[20,150]",female,Faço curso pré vestibular,Estudante
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-17T21:27:37.583Z,"[20,150]",,,
26,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-17T22:50:48.473Z,"[20,150]",female,,
22,Rbs gomes,"[500,1100]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-18T03:24:54.931Z,"[20,150]",male,Direito,Estudante
25,,"[500,1200]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-18T03:34:49.344Z,"[20,170]",male,Anhembi Morumbi,Bancário
26,Avantto,"[800,2000]","[-46.6829301,-23.598157]",Vila Olímpia,Point,apartment,2020-02-18T09:22:35.677Z,"[20,150]",female,Ibmec,Analista de Inteligência de Vendas
35,CINUSP - Cinema da Universidade de São Paulo,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-18T12:53:22.270Z,"[20,150]",,Engenheiro/Bacharel em Filosofia,Analista Administrativo/Professor de Filosofia
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-18T14:33:17.593Z,"[20,150]",,,
